area_id	DEF_CELLNAME	def_cellname_chinese	lat	lon
NULL	Nokia-102337-MRBTS-465165-LNBTS-465165-LNCEL-3	LDILY-LianYuanErZhongNL-FSMF465165PT-3	27.68801	111.64962
NULL	Nokia-102720-MRBTS-1041725-LNBTS-1041725-LNCEL-1	shyshaoyangshiyishuxuexiaoNL-FSMF1041725TF-1	27.19583	111.41778
NULL	Nokia-102720-MRBTS-972012-LNBTS-972012-LNCEL-22	shyshaoyangxianmaanshanNL-FSIH972012PT-22	26.98861	111.26416
2A92335A-AA4E-4F94-B4D0-FAC684C2515E	0-459862-459862-4	长沙地铁2号线望城坡站ZL-B8300459862TF-4	28.21095	112.90674
7E15CFEC-8109-4AE0-B136-ACD03DF5BF8D	0-459866-459866-21	长沙地铁2号线橘子洲站ZL-B8300459866TF-21	28.19875	112.95716
NULL	0-462038-462038-6	长沙工商职专ZL-B8300462038PT-6	28.23308	112.85556
NULL	1-3112-1-1	衡阳市区华盛小区HLD3900466501PT-1	26.88174	112.64293
EC2967E9-7396-4F47-B575-7782D245D1E9	1-459905-459905-4	长沙医学院学生公寓5栋ZL-B8300459905TF-4	28.30119	112.86711
NULL	4-5159-1-2	株洲醴陵香水渡(沪昆)HLD3900463280PT-2	27.70124	113.60272
A46DF8B6-6B61-4CFF-B229-DC0FC02D0545	5-1442-1-135	长沙县师范学院新校区学生宿舍11-12栋(教学楼拉远)HL-D390054088TF-135	28.29889	113.08251
NULL	5-2290-1-2	长沙武警总队反恐基地FHL-D3900471557PT-2	28.34528	113.09139
9749955E-227F-4E84-A3E2-C325FD947242	5-2318-1-2	长沙泉塘小区1HL-D3900461098PT-2	28.22075	113.10651
28BDF4E5-7CED-4C6F-B841-15AD85806622	5-2394-1-2	长沙生态公园(湘绣城1拉远)HL-D3900461447PT-2	28.24916	113.06627
72B1A3A1-7BFE-48FA-9676-59F6E907B235	5-302-1-131	长沙地铁1号线黄土岭站HL-D3900986479TF-131	28.16531	112.98022
89CF9327-40BE-47C8-8B4D-6CD4E8CB201A	5-4014-1-1	长沙地铁2号线杜花路站HL-D3900459301TF-1	28.14971	113.04947
NULL	5-4155-1-131	长沙振华路与仙岭路HL-D390053392PT-131	28.07581	113.02171
NULL	5-4380-1-23	长沙湖南省计生委(挂A)HL-D3900460548PT-23	28.18492	113.01934
NULL	5-5248-1-72	长沙雨花职教城商贸旅游学校HL-D3900394545TF-72	28.07402	113.03613
NULL	5-5656-1-1	长沙天天渔港(省体委拉远)HL-D3900459026TF-1	28.21051	112.98611
9168891A-6B31-4E52-BA63-10D51C4F81AC	5-5738-1-7	长沙广电中心武警中队后山(工程兵信息楼拉远)HF-D3900461112PT-7	28.24123	113.04233
NULL	5-5908-1-2	长沙开福区开福驾校北HL-D3900472428PT-2	28.28411	112.97483
857ED285-A900-43F7-8B70-685D46A18640	5-6142-1-153	长沙开福长沙大学汇泽1、2、4栋(汇泽食堂拉远)HL-D3900987047TF-153	28.24817	113.02832
D956DA46-C247-4850-A3F5-CFD5F0D5CE4E	5-6278-1-9	长沙珠江花城西HF-D3900461173PT-9	28.25937	112.98313
FCE0C472-33D1-4FE5-8F0B-941A30C43EF7	5-8102-1-132	长沙金海岸FHL-D390053920PT-132	28.25634	113.07678
40A5A849-CAC1-46F6-8454-2454BBCB9432	5-887-1-131	长沙理工云塘至诚轩1-4栋HL-D390054167TF-131	28.07056	113.00508
NULL	7310-473826-473826-7	长沙中南大学升华公寓1(工大升华公寓5栋拉远)ZL-B8300473826TF-7	28.16022	112.93101
NULL	7311-473844-473844-21	长沙湖南工业职院2(湖南工业职院拉远)ZL-B8300473844TF-21	28.13982	112.90308
AF9D31BB-3CFE-4FC6-A93B-0883B32E1E89	Nokia-102302-MRBTS-395886-LNBTS-395886-LNCEL-73	xtahexixiangdajinhanlin5dong6dong9dongshifenNL-FSIH395886TF-73	27.88259	112.86052
NULL	Nokia-102337-MRBTS-285756-LNBTS-285756-LNCEL-132	huhcxshihuichangFL-FSIH285756PT-132	28.02224	110.19669
NULL	Nokia-102720-MRBTS-281303-LNBTS-281303-LNCEL-131	shyshaoyangxianwufengpu1NL-FSIH281303PT-131	26.88527	111.45509
NULL	Nokia-102720-MRBTS-469576-LNBTS-469576-LNCEL-3	shydongkouxianboyaxuexiaoNL-FSMF469576PT-3	27.07268	110.55771
NULL	Nokia-102720-MRBTS-469657-LNBTS-469657-LNCEL-1	shyshaoyangxianshapingshequNL-FSMF469657PT-1	26.98841	111.26907
B126BA3F-74DD-4881-A4F6-AE035104F7E2	0-473995-473995-2	长沙湖大天马公寓2区2栋3栋6栋(3片2栋拉远)ZL-B8300473995TF-2	28.17017	112.94063
9D80D1BC-90CA-4AE4-8F27-6B014FDAAF6B	1-462292-462292-2	长沙雷锋长沙职院ZL-B8300462292PT-2	28.21786	112.82956
NULL	2-31812-1-131	益阳赫山区医专1#2#教学楼室分HLD390057504TF-131	28.53988	112.39084
NULL	2-4875-1-151	郴州宜章太平里饶田HLD3900286741PT-21	25.50903	113.03157
NULL	3-11004-1-1	永州零陵商业城HLD3900470064PT-2	26.22917	111.61361
NULL	4-1227-1-1	株洲县物资局HLD3900463417PT-2	27.71014	113.13879
NULL	4-3274-1-132	株洲中医学院FHLD3900138548PT-132	27.82194	113.17167
NULL	4-4546-1-2	株洲结谷门室分1HLD3900463587TF-2	27.83342	113.15221
NULL	5-1594-1-133	长沙县机场跑道第四区HL-D3900984722PT-133	28.18333	113.21271
NULL	5-2327-1-131	长沙湖南信息学院17-19栋及办公楼(女生宿舍拉远)HL-D3910986584TF-131	28.32361	113.07972
28BDF4E5-7CED-4C6F-B841-15AD85806622	5-2394-1-1	长沙生态公园(湘绣城1拉远)HL-D3900461447PT-1	28.24916	113.06627
5556F08A-7268-4CC8-8740-76B5BB189F02	5-2416-1-7	长沙皇凤楼(核工业宿舍303拉远)HF-D3900471997PT-7	28.04777	112.98286
NULL	5-2835-1-6	长沙万家丽建材(挂A)HL-D3900460143PT-6	28.19653	113.02381
NULL	5-3023-1-1	长沙地铁2号线长沙火车站HL-D3900459285TF-1	28.19764	113.00575
NULL	5-3801-1-2	长沙万家丽湘府建材(女子大学招待所拉远)HL-D3900461425PT-2	28.11461	113.01121
NULL	5-4020-1-1	长沙外国语学校HL-D3900460997PT-1	28.18333	112.99722
NULL	5-4414-1-4	长沙环保学校FHL-D3900460442PD-4	28.13361	113.01889
NULL	5-4957-1-1	长沙雨花区海立方HL-D3900472299TF-1	28.13313	113.02832
NULL	5-5248-1-92	长沙雨花职教城商贸旅游学校HL-D3900394545TF-92	28.07402	113.03613
NULL	5-5408-1-81	长沙长株潭城铁二期盾华4GBBU1(盾华拉远)HF-D3900394504TF-81	28.20685	113.00815
CF49A405-F44E-4F22-BD6C-019E4A174E9A	5-6206-1-39	长沙泽禹混凝土公司HN-D3900460531PT-39	28.26505	112.98117
9168891A-6B31-4E52-BA63-10D51C4F81AC	5-6403-1-1	长沙金鹰会展中心新网1HL-D3900473024TF-1	28.23776	113.04364
NULL	5-694-1-1	长沙新开铺东北HL-D3900460233PT-1	28.14258	112.97078
E86295EC-BACE-483E-B26D-8B2F5FAF78DA	5-874-1-27	长沙王府井HL-D3900460619PT-27	28.19601	112.97026
E86295EC-BACE-483E-B26D-8B2F5FAF78DA	5-874-1-5	长沙王府井HL-D3900460619PT-5	28.19601	112.97026
NULL	7311-473844-473844-25	长沙湖南工业职院2(湖南工业职院拉远)ZL-B8300473844TF-25	28.13982	112.90308
280E4373-3760-4DAD-A379-D0B36FC43A4B	7313-53902-53902-132	长沙涉外经济F升级ZL-B830053902PT-132	28.20573	112.87155
NULL	7314-462034-462034-2	长沙望城含浦白佳丽超市FZL-B8300462034PT-2	28.13593	112.89285
NULL	7430-133594-133594-134	吉首农村矮寨镇矮寨中学ZLB8300133594PT-134	28.32917	109.59651
NULL	7430-993644-993644-132	吉首市区职业中专室分扩容ZLB8300993644TF-132	28.31039	109.75071
NULL	7440-465360-465360-3	张家界永定区中国银行ZLB8300465360PT-3	29.12447	110.48523
NULL	7445-284348-284348-131	张家界慈利县教育局ZLB8300284348PT-131	29.42191	111.11908
NULL	7452-400691-400691-71	怀化中方芷江师范宿舍A-C栋室分ZLB8300400691TF-71	27.43344	109.92787
NULL	7452-973664-973664-1	怀化通道县林科所ZLB8300973664PT-1	26.16458	109.77439
NULL	Nokia-102302-MRBTS-470242-LNBTS-470242-LNCEL-2	yozlanshanrenminyiyuanFL-FSMF470242PT-2	25.37477	112.19811
NULL	Nokia-102720-MRBTS-133137-LNBTS-133137-LNCEL-132	shyshaodongxiandonghaiwujinchangNL-FSIH133137PT-132	27.24456	111.72792
NULL	Nokia-102720-MRBTS-399708-LNBTS-399708-LNCEL-71	NULL	27.23084	111.44714
NULL	Nokia-102720-MRBTS-399966-LNBTS-399966-LNCEL-71	shyxinningnanggaoNL-FSIH399966PT-71	26.45342	110.84101
NULL	Nokia-102720-MRBTS-399966-LNBTS-399966-LNCEL-72	shyxinningnanggaoNL-FSIH399966PT-72	26.45342	110.84101
NULL	oss1-YUYMLyinpindianziEL-R66011036352PT-1-10363522	YUYMLyinpindianziEL-R66011036352PT-2	28.79121	113.14581
B126BA3F-74DD-4881-A4F6-AE035104F7E2	0-394466-394466-73	长沙岳麓区湖大天马公寓扩容1至10栋ZL-B8300394466TF-73	28.17031	112.93962
NULL	0-459943-459943-22	长沙湖大北校区学生公寓1ZL-B8300459943TF-22	28.20516	112.92318
NULL	1-462036-462036-27	长沙电子工业学校ZL-B8300462036PT-27	28.34186	112.81532
NULL	1-462294-462294-3	长沙供销社ZL-B8300462294PT-3	28.35863	112.8104
NULL	2-472494-472494-1	长沙宁乡县建设局微站(黄金十一支队拉远)ZL-B8300472494PT-1	28.28298	112.55115
0BBB5812-ECC7-4EE9-BBC9-56E5BA04C7FD	3-10890-1-0	永州冷水滩木材总厂HLD3900469921PT-1	26.45157	111.61105
NULL	4-1227-1-0	株洲县物资局HLD3900463417PT-1	27.71014	113.13879
NULL	5-1163-1-26	长沙中南二手车市场(商业银行拉远)HL-D3900471709PT-26	28.24368	113.05838
6BE23C64-83DF-49A8-9FB1-BD208B64F881	5-2348-1-1	长沙湖南都市职院综合培训楼(都市职院拉远)HL-D3900473312TF-1	28.22563	113.08307
NULL	5-3699-1-2	长沙通程(挂A)HL-D3900460805PT-2	28.19163	112.99231
B1346266-FA59-40D5-A4D1-E65F2F7BF7DA	5-4022-1-7	长沙大唐村HF-D3900461029PT-7	28.13083	113.03501
NULL	5-5013-1-1	长沙雨花区红星步步高F(红星电脑城拉远)HL-D3900459442TF-1	28.11223	113.00623
NULL	5-5364-1-11	长沙黎托平阳七组4HF-D3910472522PT-11	28.12972	113.06144
A35D5E74-EC3F-45C3-9AD4-53FCC77CC7EA	5-5605-1-133	长沙地铁1号线开福寺站HL-D3900986379TF-133	28.22581	112.97328
CC19AE28-E682-4791-B962-2A6AA34A24F9	5-5607-1-131	长沙地铁1号线马厂站HL-D3900986377TF-131	28.25422	112.98281
CF49A405-F44E-4F22-BD6C-019E4A174E9A	5-6206-1-26	长沙泽禹混凝土公司HL-D3900460531PT-26	28.26505	112.98117
7FFBF8BD-EE6F-412D-B4C3-BDBFABBDD072	5-749-1-6	长沙林业科技大学女生宿舍7栋HL-D3900460556PT-6	28.13134	112.98451
E86295EC-BACE-483E-B26D-8B2F5FAF78DA	5-874-1-26	长沙王府井HL-D3900460619PT-26	28.19601	112.97026
E86295EC-BACE-483E-B26D-8B2F5FAF78DA	5-874-1-42	长沙王府井HL-D3900460619PT-42	28.19601	112.97026
NULL	7355-56749-56749-131	郴州桂阳十字街社区微站ZLBS891256749PT-1	25.74137	112.72837
NULL	7364-140426-1040426-2	常德桃义丰坊ZLB83001040426PT-2	28.88869	111.46384
AF9D31BB-3CFE-4FC6-A93B-0883B32E1E89	Nokia-102302-MRBTS-395886-LNBTS-395886-LNCEL-92	xtahexixiangdajinhanlin5dong6dong9dongshifenNL-FSIH395886TF-92	27.88259	112.86052
NULL	Nokia-102302-MRBTS-463696-LNBTS-463696-LNCEL-1	xtahedongtanshuidashaNL-FSMF463696PT-1	27.83781	112.91571
NULL	Nokia-102337-MRBTS-1043139-LNBTS-1043139-LNCEL-2	huhtdlongchengFL-FSMF1043139PT-2	26.01485	109.77101
NULL	Nokia-102337-MRBTS-465236-LNBTS-465236-LNCEL-1	LDILX-WanHaoErHaoRuoDianJingJiuLouYiShangShiFenNL-FSMF465236TF-1	27.73444	112.00306
NULL	Nokia-102720-MRBTS-281200-LNBTS-281200-LNCEL-131	shyshaodongxianwentiluzhiyongxinglujiaochalukouNL-FSIH281200PT-131	27.26561	111.73271
NULL	Nokia-102720-MRBTS-281306-LNBTS-281306-LNCEL-132	shyxinshaoxianlongxipu2NL-FSIH281306PT-132	27.45211	111.27019
NULL	Nokia-102720-MRBTS-282157-LNBTS-282157-LNCEL-133	shyshaoyangshizhongxinyiyuandisanzhuyuanlouNL-FSIH282157TF-133	27.23528	111.45694
NULL	1-984217-984217-132	长沙望城宏建厚朴广场(1-3栋)ZL-B8300984217TF-132	28.34611	112.81148
NULL	2-24171-1-1	益阳赫山区桂柳塘HLD39001040804PT-1	28.45003	112.48785
NULL	2-25089-1-1	益阳南县中顺大酒店HLD3900464678PT-1	29.36194	112.40694
NULL	2-32430-1-72	益阳赫山区医专第五学生宿舍室分HLD3900398357TF-72	28.54148	112.39287
NULL	2-4340-1-132	娄底涟源市利新HF-D3900281097PT-132	27.60921	111.81483
NULL	2-4943-1-151	郴州永兴八公分HLD3900286724PT-21	26.01701	112.88521
0BBB5812-ECC7-4EE9-BBC9-56E5BA04C7FD	3-10890-1-2	永州冷水滩木材总厂HLD3900469921PT-3	26.45157	111.61105
8CB772E4-B69D-4901-B7CB-9961E233BA94	5-1692-1-6	长沙县湖南交通职院2(干杉交通技校拉远)HL-D3900459562TF-6	28.14333	113.18635
NULL	5-2068-1-1	长沙开元东路与蓝田路交叉口(长界拉远)HL-D3900461458PT-1	28.25024	113.16018
836CAF79-D1EC-49C2-B40C-2096C22F05FB	5-2597-1-24	长沙金海岸师范学院学生公寓(湘龙家园拉远)HL-D3900458961TF-24	28.26771	113.06525
C814D099-D48A-47CC-8219-97A16A5AD42E	5-3351-1-12	长沙芙蓉北路与安顺路交叉口HF-D3900471967PT-12	28.33818	112.93165
C814D099-D48A-47CC-8219-97A16A5AD42E	5-3351-1-2	长沙芙蓉北路与安顺路交叉口HL-D3900471967PT-2	28.33818	112.93165
E86295EC-BACE-483E-B26D-8B2F5FAF78DA	5-3603-1-1	长沙芙蓉国金街地下商业街右边区域HL-D3900473667TF-1	28.19556	112.97111
9C00E9CD-4B73-4BCD-BB1A-DD2C9E61CB4E	5-3776-1-3	长沙高岭庙HL-D3900460771PT-3	28.19435	113.03395
NULL	5-3802-1-2	长沙万家丽路与时代阳光大道以南HL-D3900471915PT-2	28.09629	113.03054
